ID;Название лида;Обращение;Имя;Фамилия;Отчество;Имя, Фамилия;Дата рождения;Адрес;Улица, номер дома;Квартира, офис, комната, этаж;Населенный пункт;Район;Регион;Почтовый индекс;Страна;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Skype;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Контакт ICQ;Контакт MSN/Live!;Контакт Jabber;Другой контакт;Связанный пользователь;Название компании;Должность;Комментарий;Стадия;Дополнительно о стадии;Товар;Цена;Количество;Возможная сумма;Валюта;Источник;Дополнительно об источнике;Доступен для всех;Ответственный;roistat;ИНН;Часовой пояс;Конечная цена контракта;Максимальная цена контракта;Регион;Срок поставки;Ссылка;Сумма гарантии;Документация(ссылки);Номер извещения;Источник;Тип;Кампания;Ключевая фраза;GOOGLE_ID;YANDEX_ID;Точка входа;Город;Запись звонка;РК;Содержание РК;Точка отправки формы;категория А;категория В;категория С;Условия поставки - отображаются в спецификации;Форма захвата;Новая строка;Дата извещения;Окончание подачи заявок;Рассмотрение заявок;Проведение аукциона;Площадка;Предмет закупки;Тип закупки;Список оборудования;Оборудование у клиента;Закупка по тендеру;Новое поле - логистам;Причина отказа по лиду;ya_client_id;ga_client_id;UF_CRM_SP_UNSUBSCR;В ЧЕМ ПРИЧИНА СЛИВА?;Instagram;GA_CID;VK_WZ;TelegramUsername_WZ;TelegramId_WZ;Avito_WZ;WhatsApp Group Id;Telegram Group Id;Часовой пояс (для фильтра);Товар;Услуга
1297;"ООО ""АВК-комплектация""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Доплата 100% по счету №23481/RUB от 03.02.2023 за насос В том числе НДС 20% (19916 RUB);Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7804624241    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1298;"АО ""ОБУХОВСКОЕ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за аппарат по договору 25/11-2022 от 25.11.2022 счет 162115279 от 12.01.2023г. Сумма 2972000-00 В т.ч. НДС (20%) 495333-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805025258    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1299;"АО ""Металлургический завод ""Петросталь""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата за автоматические насосные станции по счет-договору №196 от 29.03.2023.  Счет № 196 от 29.03.2023 г. Сумма 100000-00 В т.ч. НДС (20%) 16666-67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805059786    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1300;"АО ""Армалит""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за ТМЦ по счету №30176/RUB от 18.10.2023 г. Сумма 231288-75 НДС (20%) 38548-13;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805148130    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301;"ООО ""Тэтра Инжиниринг""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата пластины по сч. 266117035 от 31.01.23 В том числе НДС 20 % - 5700.00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805388678    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1302;"ООО ""УК РЕСПЕКТДОМ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по  сч.№31491/RUB от 07.12.2023 за уплотнение Наставников 43-1 Сумма 22977-00 В т.ч. НДС  (20%) 3829-50;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805473764    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1303;"ООО ""Газпромнефть Шиппинг""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по дог. NГШП-23/01200/00054/Р от 03.02.2023, по счету N162115516 от 02.12.2022 за Поставка товаров производственного назначенияСумма 355600-00В т.ч. НДС(20%) 59266-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805480017    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1304;"ООО ""ТеплоВижн""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 5678 от 30 мая 2022 г. В том числе НДС 20 % - 2411.67 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805551395    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1305;"Общество с ограниченной ответственностью ""ФОРСЕЛ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Частичная оплата по счету 9307 от 26.07.2023. В том числе НДС 20%, 33333.33 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805671847    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1306;"ООО ""НПО Лаборатория специальных сталей и сплавов""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;За поставку профессиональной установки для промывки промышленных теплообменников по Договору 057-Е-2023 от 28.04.2023. Акт N 231024-17 от 24.10.2023. Сумма 265850-00 В т.ч. НДС (20%) 44308-33 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805702968    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1307;"ООО ""ГЛОБАЛСЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 266117207 от 06 февраля 2023 г. за товар. В том числе НДС 20 % - 605.00 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7805778269    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1308;"ООО ""ЗАВОД ГОРЭЛТЕХ"" Р/С 40702810739000008008 БАНК ВТБ (ПАО)//БИК044030704";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ N231 ОТ 14.04.202 2 (157080 РУБ.) ЗА МАТЕРИАЛЫ. СУММА 157080-00В Т.Ч. НДС(20%) 26180-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7806155468    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1309;"ООО ""ТМ СВАРКА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Аванс 50% по счету № 5861 от 02 июня 2022 г., за Автоматическая станция пожаротушения с прямым пуском Hydro GF 2 CDL 15-3 /АВР /Dr /J /RZ /Z. В том числе НДС 20 % - 48333.33 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7806225250    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1310;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙПРИБОР""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по заказу N348125866 от 30.10.2023 69904-00 руб. В т.ч. НДС (20%) 11650-67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7806259146    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1311;"ООО ""СТИ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ЗА ПОПЛАВКОВЫЙ ВЫКЛЮЧАТЕЛЬ ПО СЧ.№1315 ОТ 09.02.22Г. СУММА: 29894-85, В Т.Ч. НДС(20.00%): 4982-48.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7806341601    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1312;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АК ЭЛЕКТРО""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 13301 от 29.11.2022 г. В том числе НДС 20%, 50000.00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7806543541    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1313;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИК ИНДАСТРИЗ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 2071 от 28 июя 2023г. за товар В т.ч. НДС 20% ? 23?333,33 руб;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7807198626    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1314;"ООО ""Специализированный застройщик ""ИМСА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за ТМЦ по договору №857 от 17.10.22 по счету №11179 от 08.11.2022 Сумма 495 000 руб. В т.ч. НДС (20%) 82500-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7807302203    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1315;"АО ""Каверион Рус""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата за товар по сч. 130114849 от 10.11.2022 Сумма 11400-00 В т.ч. НДС(20%) 1900-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7808041152    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1316;"ООО ""САМСОН""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ №27817/RUB ОТ 06-07-2023 СУММА 6146-00 В Т.Ч. НДС (20%) 1024-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810015329    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1317;"ФГУП ""Крыловский государственный научный центр""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата по счет-договору N 125114986 от 9 февраля 2023 г. за аппарат пластинчатый.В т.ч. НДС(20%) 15992-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810213747    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1318;"ИНН 7810216924 ООО ""Минимакс""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за эл.техн.продукцию по Счет 194110131 от 14.06.2022 Сумма 16960-00 В т.ч. НДС (20%) 2826-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810216924    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1319;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ СИКРОН""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за аппарат по сч 8488 от 11 июля 2023 г. В том числе НДС (20%), 34 654.13 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810337502    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1320;"ООО ""ПРОФЕССИОНАЛ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по Счету № 16992/RUB от 24.03.2022 за уплотнение Alfa Laval M3 EPDMСумма 24600-00В т.ч. НДС  (20%) 4100-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810345486    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1321;"ООО ""ФМ СЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №162107188 от 15.03.2022 за уплотнение Сумма 18300-00 В т.ч. НДС (18%) 2791-53;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810374046    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1322;"ООО ""Оематех""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по Счету 10009 от 15.08.2023 за реагенты. В том числе НДС 20% 9840.65;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810379118    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1323;"Общество с ограниченной ответственностью ""Авангард""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счёту №11049 от 07.09.2023г. за насос Сумма 28237-59 В т.ч. НДС  (20%) 4706-27;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810423293    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1324;"ООО ""Глория""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету 3545 от 21.03.23 за ТМЦ (насос) Сумма 73696-00 В т.ч. НДС  (20%) 12282-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810571220    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1325;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕРМЕХ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 14161 от 23.11. 2023 г. За материалы. Сумма 40600-00 В т.ч. НДС  (20%) 6766-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810726259    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1326;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦТРЕСТ-27""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету 24992/RUB от 23.03.2023 за материалы Сумма 31524-00 В т.ч. НДС  (20%) 5254-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810766702    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1327;"ЗАО ""МНК-ГРУПП""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата 50% по счету №1744 от 18.05.2023 за насос Сумма 343875-60 В т.ч. НДС (20%) 57312-60;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810802206    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1328;"ООО ""МПС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата аванса 70% по сч. № 231122692-3 от 26.10.2023 к договору № ДП280923 от 26.10.2023 за оборудование. Сумма 2433288-20 В т.ч. НДС  (20%) 405548-03;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810819665    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1329;"ООО ""ПГС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №9518 от 02.08.2023 за насосы. Сумма 322944-60 В т.ч. НДС  (20%) 53824-10;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810871400    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1330;"ООО ""ПК ""ТРИОТЕХНИКА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Доплата за товар по счету N 266116750 от 26.11.2023 В том числе НДС(20%) 4505-33.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810899340    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1331;"ООО ""УПТК ""САНТЕХКОМПЛЕКТ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за товар по сч.13808 от 08 декабря 2022 г. В т.ч. НДС 20% - 4022.2 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7810953727    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1332;"АО ""НЕВСКАЯ КОСМЕТИКА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата за товар по сч.N 691 от 25.01.2022г. В том числе НДС 20%- 2422-14;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811038047    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1333;"ООО ""ПРОФТЕХСЕРВИС СПБ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ЗА ТОВАР ПО СЧЕТАМ № 253 254 ОТ 01.12.2022Г. В Т.Ч. НДС 20% - 1 742 77 РУБ.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811168416    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1334;"ООО ""УК ""НОРМА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №4512 от 26.04.2022г за уплотнение канальноеВ том числе НДС 20 % - 8972.58 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811386196    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1335;"ООО ""Барс-Гидравлик Групп""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата по счет-договору № 155123802 от 22/08/23г. за ТМЦ, В том числе НДС 20 % - 5112.00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811390227    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1336;"ООО ""ДЕТАЛИ МАШИН""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата за товар по счет-договор N 158122463 от 17.07.2023 г в сумме 206524,00 рублей В том числе НДС 20% включенный в сумму - 34420,67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811493141    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1337;"ООО ""АСПЕКТ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;предоплата по счету 6927 от 25.08.2023 в т.ч. НДС 20% 121454.88;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811540514    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1338;"ООО ""НПП ""НОВАЯ ЭНЕРГИЯ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N156118083 от 24.05.23г. Авансовый платеж в размере 50% по договору N2023-05/24 от 24.05.2023г. В том числе НДС 20% 362500.00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811552260    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1339;"ООО ""ВГТ-Сервис""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по сч N266121666 от 27 июня 2023 г. за Клей для уплотнений, банка, 1л (склад) НДС 20%-1376,67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811699840    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1340;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Т-СЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счёту №9952 от 14.08.2023г. за реагенты и доставку Сумма 56328-54 В т.ч. НДС  (20%) 9388-09;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811704032    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1341;"ООО ""АНТ-ИНЖИНИРИНГ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за прокладки по счету №№ 5207 от 18 мая 2022 г. В т. ч. НДС 20% - 1680.00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7811743641    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1342;"ООО ""ШВЕД ИНГРЕДИЕНТЫ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Частичная оплата по счету №22508/ RUB от 16 декабря 2022 г. В т.ч. НДС 20% - 8333.33 р..;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7813229689    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1343;"ООО ""ВРК ""Купино""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по Дог. №6135 от 22.06.2020 г за пластины, порошок реагент  согл. УПД № 1179 от 31.05.23, по счету № 5434 от 14.06.2023г. Сумма 566265-60 В т.ч. НДС  (20%) 94377-60;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7813418809    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1344;"ООО ""АИК ЭНЕРГО""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по Счету № 2978 от 05.07.2023 г. за товар  Сумма 614856-00 В т.ч. НДС  (20%) 102476-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7813512713    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1345;"ООО ""МКС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ №10036 ОТ 15.08.2023 ЗА НАСОСНОЕ ОБОРУДОВАНИЕ. СУММА 219816-81. В Т.Ч. НДС(20%) 36636-14;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7813541070    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1346;"ООО ""Энергетическое Строительство""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 14364 от 29.11.2023 г. за уплотнение.  Сумма 8841-70 В т.ч. НДС  (20%) 1473-62;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7813548237    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1347;ООО ДИСПБ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 231109124 от 29.08.2022 Сумма 1068870-00 В т.ч. НДС (20%) 178145-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7813635881    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1348;"ООО ""САНТЕХРЕСУРС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;счет N 266117785 от 22.02.23 оплата за клей в т.ч. НДС 20% 3700.00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7813642487    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1349;"ООО ""Лента""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;оплата товаров сч. № 2106 от 14.02.2023, в т.ч. НДС(20%)-19941.12;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7814148471    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1350;"ООО ""СЕРВИС-ПТО""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 288123684 от 18.08.2023г. за уплотнения. Сумма 151420-00 В т.ч. НДС  (20%) 25236-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7814210384    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1351;"ООО ""ЖЭС ""СЕВЕРНАЯ КОРОНА"" р/с 40702810855200182920 в СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК г.Санкт-Петербург";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 1206 от 07.02.2022г. за реагенты. Сумма 34740-00 В т.ч. НДС  (20%) 5790-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7814351307    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1352;"ООО ""НОВЫЕ ГОРИЗОНТЫ"" р/с 40702810100150007386 в Ф-Л БАНКА ГПБ (АО) ""СЕВЕРО-ЗАПАДНЫЙ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;В1.02.04.А0.ИСД0009652.Оплата по счету-оферте N7604 от 26.08.2022 за запчасти В том числе НДС 16 322.67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7814449207    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
